question,answer,display_order,is_visible
"Can I bathe and swim with my customised necklace, earrings, bracelet, anklet or waist chain?","Yes. Our gold-layered pieces are water-friendly, so you can bathe and swim with them.",1,TRUE
"I'm abroad. Will my acrylic frameless break before it gets to another country?","Our acrylic frameless pieces are not as fragile as glass. We also package them carefully and securely for delivery, including international orders.",2,TRUE
"What happens if there's an issue with my order?","Before we send out your order, we send you clear pictures and a video of the finished product on WhatsApp for you to check and approve. This helps us make sure you're happy with your order before it leaves us.",3,TRUE
"How long does it take to receive my order?","Some jewellery orders take 3–5 days to process, while some may take longer depending on the design you choose. All acrylic frame and frameless orders take 3–5 days to process before dispatch. Delivery time depends on your location. We'll confirm the expected timeline with you before you place your order.",4,TRUE
