image_url,caption,category,wide,display_order,is_visible
https://drive.google.com/file/d/1XnbL8M3x2y01FHLIpe172fAneVvkIHcK/view?usp=drivesdk,"A beautiful customised necklace, made personal with a name that means something special to our client. ❤️",Jewelry,TRUE,1,TRUE
https://drive.google.com/file/d/1cyQra5iR1AAmBbWkn4HMhmjDXaGsF0Y8/view?usp=drivesdk,"36 × 72 inches Acrylic Frameless is one of our biggest sizes. Perfect for large spaces and a beautiful gift for weddings, anniversaries, birthdays, and other special occasions. ❤️",Acrylic Frameless,TRUE,2,TRUE
https://drive.google.com/file/d/1DvFOBrSZrq8mRun0_UpVzVup4-XO7HG4/view?usp=drivesdk,"Customized Necklace, Bracelet & Wristwatch Set. A beautiful personalized gift set.",Jewelry,TRUE,3,TRUE
https://drive.google.com/file/d/1SNJ42vGTls7xq7MtrfXn_p0XQotdRXIz/view?usp=drivesdk,"A customized wristwatch, perfect for gifting yourself or your loved ones.",Jewelry,TRUE,4,TRUE
https://drive.google.com/file/d/18XBH64AH-93wa853a0fADv1EhzDocxX0/view?usp=drivesdk,"36/72 inches Acrylic Frameless. Perfect for weddings, anniversaries, birthdays, and special occasions.",Acrylic Frameless,TRUE,5,TRUE
